Text,True Label,Predicted Label
you know the type  she s excelling in her field while tutoring underprivileged kids  running 5k fundraisers and adopting the most hopeless rescue dogs as pets  and she s not afraid to gloat about it ,1,0
if in addition  miracles  can be orchestrated then the acceptance and reverence become total  in a country where statistics state that unemployment is about 25 per cent but we know it is more like 70 per cent  where the next meal will come from is unpredictable and on a daily basis time just passes by  it is not farfetched for women to become prayer warriors for their children  husbands and siblings and are made to blame whatever is happening not on policies of the government but on the machinations of the devil ,1,0
meanwhile  throughout this island  the high level of suicide is terrible and terrifying   as christians  we can give hope  where a person feels only darkness and hopelessnes   he said ,1,0
it will be providing africans  especially young and new immigrants  with a more inclusive feel of being in america by positively opening them up to challenges while providing a competitive ground on which to develop ,1,0
film star reema also believes that this is nt the time for iftar parties so she was nt throwing any   i think we should save every penny at this time and send it to help for flood victims  hundreds of thousands of people are waiting for our help and the money which is otherwise spent on iftar parties should be sent to these people in need   she maintained ,1,0
veterans left on scrapheap  the homeless plight of former servicemen and women,1,0
attaching a photo showing pi  ol with dole senior vice president for worldwide agriculture and research carlos mandujano and other officials of dolephilippines during their meeting at the matina golf club in davao city last december 10  pi  ol wrote that dolephilippines will be donating to poor families the pineapple leaves from their more than 18000hectare plantations all over mindanao ,1,0
smyth told hkfp   the biggest challenge is the no work policy  i think that refugees who come here  or asylum seekers  they re unable to work and they have kids here  their kids are stateless  that s really the cause of a lot of stress in the community  ,1,0
trauma burns deep for survivors as giant mudslides cut lives short h lives are cut short  many are desperately clinging to their own selves  without loved ones  survivors are homeless ,1,0
 most of them  the homeless  have the ability to work  but a greater challenge for us is to help them sustain a job   he said ,1,0
the common thieves then stole a crust of bread  the law came down upon the hungry heads  the haughty land robber stole land with men resources and all contents  the first they said were a hopeless conviction  while they escaped the law by trick  that grave  onesided justice would not do  the poor call for consideration  too  the cruel people started the unholy war  then from the line of action they kept far  they pushed to the front sons of the poor  there to do battle  die  suffer galore  as the guns raged  liberty loans they raised  and in glorious tones  we sung freedom s praise  those who made wars should first went to the front  and of shot and shell bear there the brunt  in first lines of action they were all due  if to their country and people they were true  when this was demanded in right of all  there would have been no more deadly cannon balls  the downtrodden poor people of us joined together and prevented the pakistani rulers our rights to purloin ,1,0
for jobless  hopeless zimbabweans there is nothing much to cheer,1,0
thankfully  while krishna tulasi ca nt entirely escape from the trope of disabled persons with hearts of gold  it manages to do better than many previous films with disabled protagonists ,1,0
this letter also might encourage other people  if they see someone struggling just go over and help  it can really make that elderly  disabled or troubled person s day ,1,0
once again the stateless rohingya are on the run  homeless and increasingly hopeless ,1,0
the phone booth and minority report actor is a patron of the irish homeless street leagues  in his own words  they provide provide an opportunity for those who are living without a roof over their head  or a warm bed to sleep in  to feel like they re a part of a community  that they re included and empowered in their lives   so his views on the issue of homelessness are just as valid as any expert or politician ,1,0
vatican city  to suffer and empathize together with others  drawing close to them to help restore their dignity  this is the attitude that the christian should before those who suffer and are in need  said pope francis during mass this morning at casa santa marta  commenting on today s gospel from luke dedicated to the account of christ s resurrection of nain s son ,1,0
 for the kids  it shows that someone loves them and cares about them to follow up   principal sherrie gahn told the las vegas sun after the taping   when you live in an existence where everything seems so hopeless  it s an amazing gift they will never forget  it s beyond their wildest dreams  ,1,0
what is your advice to nigerian women  my advice to women is that they should step forward and be bold  as stated in the un declaration  i want women to be encouraged  pick up something that you can advocate for  it is not all about money  it is about the people you are surrounded with  start from your immediate community and you will get to where you want to go,1,0
shebesh  who is city woman representative  was captured by a passerby kneeling on a street in nairobi at the weekend  and talking to a disabled man ,1,0
ad of the week  popup street store for the homeless shows real heart,1,0
osoyoos student excited about running across haiti to help educate poor families,1,0
pepe divides opinion among football fans but the portugal defender proved a good samaritan as he paid for nine tonnes of food to be distributed to poor families of the las rozas district in the spanish capital ,1,0
 many children from poor families and working class households have struggled to gain entry into universities because their parents could not pay the fees  so if you come from a poor family you are condemned forever  to remain an inferior person   he said ,1,0
12  chris hipkins  labour  rimutaka  to the minister of education  why does she accept some responsibility as minister of education for hon bill english s statement that a lot of kiwis are  pretty damned hopeless  and  they ca nt read and write properly  ,1,0
the march was led by ethekwini mayor  cllr zandile gumede  kwazulunatal premier  willies mchunu said   real men must stand up and defend the most vulnerable members of society women and children  we must not stand by and watch this terrible scourge tear apart the fabric of our communities and society  ,1,0
 we ve seen in the past that kenyans who are homeless and who live in the streets are not keen on community help  i think such existences come with a lot of shame so many people prefer to keep to themselves   said claris wanjohi  a kenyan resident of marietta  georgia ,1,0
 i expect more resources in the hands of people in need and the humanitarian workers on the frontline  who  are risking their lives to help them  and i expect less to be spent in the back room in transactions that do not help us get help to the people   she said ,1,0
the retailer footwear company on a mission to democratise fashion  design and the latest ideas in footwear and accessories globally  has shown its commitment to jamaica by again providing shoes for children in need during the christmas season ,1,0
speaking to africa review  he also pointed out that majority of these children come from very poor families with no permanent level of income since most of their parents are casual labourers who earn peanuts ,1,0
while male prisoners in pakistan also suffer  the female prisoners  plight is truly worrying  like male offenders  the majority of female offenders are poor  however  women enter the criminal justice system with a host of unique medical  psychological  and financial problems and needs that distinguish them from male offenders  addiction  poverty  unemployment  physical and mental illness  physical and sexual abuse  and homelessness trap women in a cycle of hopelessness and crime  in particular  female offenders are often young mothers who face the additional trauma of threatened separation from their children ,1,0
however  and most importantly  it should be a moment for all partners to embrace the ogp platform to fundamentally change how we design and deliver essential public services for those most in need of government support  for their survival and dignity ,1,0
the indigenous palestinians see themselves abandoned by the powerful nations of the un  in sheer hopelessness and a sense of dehumization they are  regrettably  now resorting to nihilistic activities trying to harm israeli jews and getting killed every day by the trigger happy israelis  civilians and security forces alike  it is a sad development in a region that has cried for justice for too long  almost 70 years  only to be ignored and severely punished for their noncompliance to the zionist dream of eretz israel ,1,0
muslim youtuber gives christmas presents out to homeless people,1,0
arshad said that besides learning many new aspects of sports leadership he learnt how fastdeveloping nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage ,1,0
it s unfortunate that de lima chose to ascribe that episode in her life to the  frailties of a woman   that remark  made in a televised interview  does not reflect well on women and their limitless capacity to be strong and responsible in their choices  but now that she has taken the step of admitting a relationship with dayan  perhaps she can take the next step  to help him come out and say his piece ,1,0
 what we save from buying firecrackers we give the amount for social services to our parishioners in need   he said ,1,0
1041am  parents of children who died must get compensation  free medicine must be provided to poor families across up  ram gopal yadav,1,0
a kindhearted woman has rescued a 11yearold girl fleeing from her home in the sri lankan refugee camp near madurai and reunited her with her family with the help of police in tiruchi ,1,0
all of this is done to help raise money for gordy and eva hoffman s three charities  project warmth  alberta champions   for the purpose of full disclosure  i m on the board  and operation kickstart  this year  project warmth will distribute more than 85000 pieces of gently used and cleaned coats  hats and gloves to needy children  alberta champions recognizes historic figures who helped build our glorious province with special fields of fame monuments at various locations in the city  with more to come  and project kickstart helps immigrants looking for work to find it  often through hoffman s incredible network of friends and acquaintances that he s never afraid to call on to help another person in need ,1,0
for her unwavering commitment to aiding those most in need  mother teresa stands out as one of the greatest humanitarians of the 20th century  she combined profound empathy and a fervent commitment to her cause with incredible organizational and managerial skills that allowed her to develop a vast and effective international organization of missionaries to help impoverished citizens all across the globe ,1,0
ryan says he plans to serve out the remainder of his term  so he may have the opportunity to add to his legacy  last october  following the mass shooting in las vegas  ryan said he would  look into  the banning of bump stocks  there s also the matter of the 800000  dreamers   undocumented immigrants who were brought into the country as children who were protected under the deferred action for childhood arrivals  daca  program  which trump ended  last september  ryan told those affected by the rescinding of daca to  rest easy   as congress would take action to allow them to stay in the country  no such bill has passed congress yet ,1,0
chantelle owens  mrs planet 2016  hosted the day and the ladies had the chance to share their compassion for those in need ,1,0
but this could be devastating for the disabled and elderly  who lack the agility to cope with anything sudden and unexpected  they added ,1,0
from a spiritual perspective  fasting is a time for the believer to rely on god  to give thanks and to think of others who are in need ,1,0
while mseffer celebrates her group s progress toward integrating the disabled  she wants authorities to get more involved ,1,0
speaking at the elaborate event  the first of its kind in badagry  chairman of the association  comrade monday denagan honfovu  who also doubles as the president of badagry community youth association  bcya  said  the idea to assist the vulnerable women was borne out of the saying   if you empower a woman  you empower the nation  ,1,0
that is not all  regarding the quality of life as contained in the millennium development goals  such as access to health care  potable water  electricity and reliable infrastructure  the country went from bad to worse  a veritable underclass of desperately poor people  some derelict and homeless was the underside of increased growth and expansion of the millionaire class brandishing private jets  add to this depressing scenario  our recent economic convulsions manifested in worsening unemployment  upward spiral in the inflation rate  the abasement of the salaried elite caught in a debacle of lengthening defaults  the virtual wiping out of small scale businesses  and you get a social explosion waiting to happen ,1,0
hundreds of thousands of rohingya refugees living in sprawling camps in bangladesh are celebrating the muslim holiday of eid aladha  praying for better lives as they wonder if they ll ever again celebrate at their homes in myanmar  people streamed into makeshift mosques in the camps  the children dressed in new clothing  those who could afford it feasted on buffalo meat  muslims often sla ,1,0
rather sad  good set of pictures that tells a tale of survival  subsistence living  and hopeless nature of life in the tribal societies  exploiting an unexpected geopolitical bonanza is a temporary relief that is not sustainable  education and economic development seem miles away ,1,0
in september  major nottle set off on foot from melbourne to canberra to plead for a national solution to the homeless problem ,1,0
according to bettyann blaine  executive director of hear the children s cry  deterioration of family life  instabilityshifting households  crippling levels of poverty  lack of adequate social support systems and heartbreaking levels of hopelessness are key factors leading to children running away from homes ,1,0
more than 150 volunteers spent the night in  survival camps  to highlight the plight of refugees this winter ,1,0
 i appreciate mayor nutter affording me the opportunity to lead the work of the office of health and opportunity   said kretsge   over the last six years  staff in these departments has improved the health of philadelphians and child safety and offered a life off the street for hundreds of formerly homeless individuals  i have worked closely with our departments on this work and i look forward to continuing these efforts in my new role  ,1,0
it s calculated that over 204000 days of purposebuilt residential accommodation to otherwise potentially homeless elderly men and women have been delivered by this personally driven altruistic act alone ,1,0
the climate accord to which the philippines has set a goal of 70 carbon emission reduction by 2030  depending on financial  technological  and capacitybuilding support  was made possible partly due to our country s leadership role as chair of the climate vulnerable forum that focused the attention of last year s 21st conference of parties meeting in paris on the plight of the poor and most vulnerable ,1,0
 i suddenly had the urge to look for a filipino family living on the streets and give them a helping hand  i m talking about people who are forced into homelessness by poverty ,1,0
about the same time  she gave an interview to the invisible people project  which documents the lives of the homeless  she seems hopeless  resigned to her fate and dubious future ,1,0
the brother trudel knew how to manipulate his victims  these children who came from poor families  destitute and often violent wanted only to be loved  trudel took the opportunity to spoil them by offering them alcohol and cigarettes  even if they did not have the legal age ,1,0
 we insist on tolerance for the refugee  for the immigrant  for the stranger among us  in the name of the millions of irish  of our own people who knew the hardship and the hurt of being refugees from famine ,1,0
pm defends record of helping poor families,1,0
if every singaporean can just take 15 minutes every day to help anyone in need  that would be sufficient as a starting point  it would spark a revolution in our lives ,1,0
while traversing various communities in jamaica  one can see the hopelessness on the faces of many of our youth  today  you can count the number of idle hands on the road and can not help but wonder how the human capital of this country can be put to more productive use  unless we are able to create more jobs very soon  the crime rate will spiral ,1,0
 we are taking a community that is fairly vulnerable and bringing them to a level where they are empowered   h victoria kioko,1,0
in a statement  the unhcr said it is  alarmed and concerned  by tuesday s incident and urged the  public and all those concerned with refugees to continue extending protection and to show empathy for civilians fleeing persecution and violence  ,1,0
kadamay also demanded that these houses be given for free to poor families ,1,0
the school authorities have taken the perfect procedure  not to obstruct studies  the 300 odd athletes who engage in sports are given the freedom to practice before and after school hours under the watchful eyes of the teachers who are incharge of sports  the talented athletes who come from poor families are taken care of adequately with contributions from parents and well wishers ,1,0
bhopal  a day after prime minister narendra modi launched 21 electronic mandis across the country to help farmers sell their produce online and do away with middlemen  madhya pradesh chief minister shivraj singh chouhan was distributing tomatoes free of cost to poor families in vidisha  as prices crashed to alltime low  rs 2 a kg  not enough to recover the sowing cost  not only the tomatoes  wholesale price of onions too have plumetted to 20 to 30 paise a kg  almost negligible  in several districts including vidisha  neemuch and mandsaur  where farmers can not afford even transportation cost ,1,0
a massive cleanup and awareness drive was conducted jointly by the lwmc and the bahria university  lahore campus in different localities of johar town  the purpose of the drive was to improve state of cleanliness and sensitise poor families to hygienic conditions ,1,0
inspiration that anything is possible  you can be born into a family that does nt have very much  but if you have the heart and the hard work then dreams can come true  people forget that this country gives you opportunities  not every country has that  in fact many countries do nt  a lot of immigrants have that obstacle that they ca nt overcome in their head  i was raised by a single mom who worked as a maid  english is my second language  and i lived below the poverty line  you have to have hope and faith in yourself ,1,0
pointing to the holy year of mercy  the pope stressed that together with the church  the group would be able to better respond to the  human tragedy  of refugees through concrete acts of mercy which promote their integration not only into europe  but any culture they move to ,1,0
 research conducted by unicef in 2013 found that the number of disabled children in child and youth care centres is three times that of our general childhood population in south africa  not only are these children abandoned  they must contend with a disability or disorder that will impact them for the rest of their lives   noted blackie ,1,0
practical ways to open the doors wider for our disabled,1,0
winfrey s school is an attempt to wield philanthropy and celebrity against south africa s social and educational crises  highachieving students from poor families were admitted after a rigorous application process in which winfrey was deeply involved  and she has visited regularly to counsel her girls  she held a last  latenight  pajama party  with the graduates friday ,1,0
it takes a lot of pain and hopelessness to get to that point,1,0
part of the result now is the massive exodus of africans from the continent to seek greener pastures in europe  it is sad to see scores of young people die trying to cross the sahara and mediterranean into paradise  it is sad when our televisions show hundreds of immigrants trapped between the sea and fenced territories in europe because they can not enter  what are they fleeing from  why ca nt they stay at home  this indeed is a million dollar question  they are fleeing from mismanaged economies that could have otherwise done well  they are fleeing from years of bad politicking which has given birth to some of the worst policies the world has ever known ,1,0
the coming fury of angry america is as palpable as it is silent  what will that tiny part of a tiny part of the earth s population do when the utter hopelessness of the situation washes over them and the tides of history curl around and bear them  inexorably  into the past ,1,0
lakshan madurasinghe  country public affairs  communication and sustainability manager of cocacola beverages sri lanka ltd added   our heart goes out to the families affected by the recent floods  cocacola has always believed in inclusive and sustainable development and cares about the local community where it operates  we are glad to be of help in providing support to our community members during their times of trial and difficulty  we are also grateful to the sri lanka red cross society gampaha branch  the local public health inspectors of the ministry of health  the gramaniladharis and the biyagama divisional secretary  whose help made it possible to successfully execute these interventions to those in need  ,1,0
 present government is dedicated in solving the problems of disabled soldiers  but  misusing the freedom prevailing under the present government is a matter of concern   the state minister said ,1,0
the rehabilitation of the health center is underway  but at huge cost to the community because of absence of an alternative for residents in need of healthcare  thus  members of the community are condemned to continue to use the health care center even as it is under rehabilitation  but now  they are receiving treatments for their various ailments not inside the wards  but in the open compound of the facility  patients lay on mattresses or mats under a tree within the unfenced compound of the health centre to receive treatments ,1,0
ms archibald  had room in her heart for everyone and believed strongly that every person was to be valued and respected   the family said  noting she worked at a homeless shelter prior to moving overseas   she would have had no understanding of the callous cruelty that caused her death  ,1,0
 rafiqul bari has proved that the disabled children are not burden for the society and they can lead normal life if they get a little care and some training   said dc m bazlul karim chowdhury as he visited the school along with officials of local administration and shaheed salahuddin cantonment in ghatail yesterday ,1,0
the scheme saw an estimated 150000 children from poor families being sent to parts of the british empire between 1920 and 1974  by religious orders and charities who said they would lead better lives ,1,0
 the american people  as we always have been  are there to partner with african countries to ensure their most vulnerable populations receive lifesaving assistance ,1,0
the tour of projects saw editors and the governor trekking over several kilometres  it was a show of popularity as residents of the various communities and parts of the port harcourt metropolis visited trooped out to hail and catch a glimpse of the man they fondly called  our governor   if democracy is about connecting with the people and lifting their status through development  wike has etched his name on the boulders of history  he was welcomed everywhere as the man who connected the disconnected people through roads and bridges  as the leader who comforted the brokenhearted  the pensioners  the artisans  the civil servants and much more as the man who gave hope to the hopeless hoipolloi ,1,0
durban s homeless communities reconciliation lunch,1,0
that is the big picture  the one conveyed in official reports and government documents  but for the people who live on the ground in the province  it does not begin to portray the hopelessness  the everyday obstacles  the decay ,1,0
when some people feel causing problem for some others by breaking into their homes to steal is nt too good  they just result to begging  you now see people without deformities begging  when some people who are disabled work to feed their mouth  you then ask  what type of country is nigeria  even a man who is not lettered would chorus the maxim that two wrongs do nt make a right  the country is nt working out  and people want to survive anyhow too  they have to eat they will say ,1,0
bishops having a meal with poor families on the eve of the international eucharistic congress  iec  was meaningful symbol  without it  the opening mass on sunday would have been nothing more than ritual reverence of the eucharist  and reverence is not enough  papal legate charles maung cardinal bo stressed in his homily the need for christians to make the poor feel christ s love for them ,1,0
by this exercise  the prime minister would benefit the poor families immensely and catch their imagination  which is important to give them hope that the government understands their plight and which would improve their morale ,1,0
 by donating blood  many lives are saved and hope is given to many whose situation might otherwise be hopeless ,1,0
the spirit the rwandese have shown to accommodate the people  almost a tribe in their tiny country with approximately 19 million people with meager resources just like any other third world country  without planning to ditch them in refugee camps  but offer them to live just like any other citizen should actually be emulated in the human race ,1,0
 our life has completely changed from when he as an ablebodied young man running around 5000 miles an hour organising everyone  now  he s more disabled than anyone that he ever helped   ,1,0
the rights and needs of hundreds of thousands of older and disabled people are being neglected and their difficulties left to worsen under a hopeless system of social care  but while the king s fund report says that older people are faring the worst from the poor state of social care  this ignores the plight of working age disabled people who are facing the double whammy of harsh and inefficient  welfare reform   as well as severe cuts in social care support ,1,0
mombasa county team manager anisa abdala called on the corporate community to sponsor various teams as a way of showing solidarity with the disabled ,1,0
 we need to give priority to how we are going to help these people in need first when suggesting the quantum   she added ,1,0
yes  dmc you are very good at adding numbers  i am sure the dead and homeless are really thankful that you have the numbers  but as a government department i do not see any action in preventing  educating  keeping sos supply depots  or indeed any action  apart from the armed forces providing aid and the common man ,1,0
it is also good news for women s issues  which are in desperate need of a woman s touch  as much work as the anc has done thus far  we have a long way to go in this and in many other regards ,1,0
 i am very excited to see the monetary results of having all of these businesses donate toward the cooperative  since i am also a part of 16xosu  i have further interest in where the money is going to be used and the difference it will make among the women in uganda   triplett said ,1,0
emmanuelle riva in  amour   as a woman in her 80s whose mind and body deteriorate after a series of strokes  is even frailer  more vulnerable  and quite defenseless  the first time we saw riva  in  hiroshima mon amour   we were struck by her sensual  yet patrician face  now the sensuality is gone  but the dignity of that countenance remains ,1,0
old bc  as usual  old gb has it assyversy  i think there should be more focus on preventing homelessness than curing it  are there systems for actually going out  picking up the homeless  and placing them where they belong  homeless people are nt voluntarily walking into these shelters ,1,0
aileen said   i just thought   those poor families   i hope they get answers  we are still waiting  ,1,0
urgent need to ensure quality education for poor school children in india h it is encouraging to note that the poor families all over india now realise that the best that they can do for their children is to provide them quality education  that would enable them to equip themselves to improve their life prospects ,0,1
businessman norberto quisumbing jr  of the norkis group of companies has a challenge for families who can spare some of what they have  why not adopt poor families and help them break the cycle of poverty ,1,0
i rather donate to the less privilege in the church or homeless than to pour a cup of water into nigeria sea of wealth so that the thieves can grab my little contribution ,1,0
our judicial system works  we have a free press  a wonderful  best in the world constitution  and our press is free  we must be very grateful for these huge benefits  the blacks want all our farmland without compensation  give it to them  let the farmers flock into the cities and make a new life for themselves  with their resilience i am sure it will not be so difficult for them to establish a new  happy and productive life  they will have no money but the clothes on their back to start off with  but that is what so many immigrant americans had to face  through guts  determination and sheer will power  they rose above it all  and look what america is today ,1,0
 we do not only serve the children and homeless food but also try to trace their homes and send them back home while we do that we try to engage them in creative activities like drawing   he reveals ,1,0
 it is tragic that a young child would be so trapped in a sense of hopelessness  it s a tragedy that needs to be heard across the nation if we are going to extract a dividend of change   mr georgatos told the abc on tuesday ,1,0
a harrowing journey night falls early in this part of morocco now and a cold winter looms  prompting the homeless africans to take their chances before conditions worsen  and amid sometimes harsh treatment by authorities ,1,0
it is written in ecclessiastes in the bible that  woe to any nation where a slave becomes king  this typifies the situation in nigeria since the inception of that country  i weep for my country when i visited home in 2009 and toured my alma mater absu  the infrastructural decay reduced me to tears  no matter how much oil is sold in the world market the money will not change the corrupt sorry situation in nigeria  the only thing that will change it is revolution  i weep for the children  pregnant women  the sick  infirms and the vulnerables who are trapped in this diabolical hole called nigeria  my advice to nigerians   god will not do for man what man can do for himself  wake and take your destinies in your hands stop calling on god for simple things you can do  learn from egypt  tunisia and libya experience ,1,0
many of them sought refuge in malaysia only to be treated as outcasts to be whipped  incarcerated  deported  trafficked or abused  why was no consideration given to allowing the thousands of these refugees to work as there is now for the rohingya  did the fact that they were nonmuslim disqualify them from compassionate treatment ,1,0
i end this essay with questions for government and society  can there ever be a place for humour in the life of the disabled  are there disabled friendly environments in nigeria  do we have barrierfree restaurants and alternative routes for the disabled  how do the disabled manage to deal with self confidence  how do they feel when they have to ask for help  are people with disability lawless  do government and society owe people with disability anything  abah wrote from port harcourt ,1,0
lilia caberio is from sulangan  in the philippines  in 2013  her house was destroyed by the 170 mile per hour winds and 6metre high storm surge during typhoon haiyan  and for a while she lived with her family in a tent erected where her home used to be  the typhoon was frightening enough for lilia  but homelessness must have felt even more so  until elizabeth came along ,1,0
andrew garfield and claire foy in an inspiring biographical drama about a man who devotes his entire life helping patients and disabled,1,0
an immigrant to a developed country lives in two worlds  in the metropolitan societies he encounters a different way of looking at things  he develops new ideas  gains a new confidence  in the new country there are opportunities  he gets accustomed to a good standard of living  yet he is an outsider  not fully assimilated  ethnicity and culture sets him apart from the mainstream  he yearns for familiarity  his roots  the idea of retiring to the original country comes to him ,1,0
the ten wheelchairs were sought for children identified by the host  salvation army to enable them to become mobile  the convener noted  baps charity would go anywhere to donate provided there are found people in need of the donations without any discrimination relating to religion  colour  origins or tribe  he stated ,1,0
kasun may not be a superhero or a super genius but he is a great human being who has overcome challenges and hardships of life without even having the full functional capability of his body  his courage and dedication may one day take him to high places in life but above all  for those who are feeling useless and hopeless even though they have fully functional limbs  kasun s story is going to be a lesson ,1,0
 we have a real opportunity to accelerate the development of mobile technologies that can save lives  help women reach their potential and boost the growth of emerging economies for britain to trade with  a more prosperous  connected and stable world is firmly in our national interest  ,1,0
 god bless the victims  all those people and their poor families  and i feel so sorry but i want to tell them it was nt my son who did this  it was a different seifeddine ,1,0
 so many of us see the state of our home as some kind of reflection of our selfworth  even though it s not    and a mess can so easily make you feel like a failure  and for those who have mental illnesses  chronic illness  chronic pain  or disabilities  this can be even worse  because when you re not physically able to do a wholehouse clean  it can all seem a little hopeless  ,1,0
 the chance to help the marginalized became more personal because of my son  because we need to have laws that shall also grant poor families with special children sufficient access to opportunities  like what i have done for my israel   de lima added ,1,0
ramirez was only 13 when he was first introduced to the sport and honed his skills at the tuloy foundation in muntinlupa  a haven built through the efforts of fr  rocky evangelista that provides hundreds of underprivileged  abandoned and homeless children the opportunity to learn academics and sports in a safe and caring environment ,1,0
aklima sultana  a teacher of the institution  told the daily star   i feel very proud when i think i teach underprivileged students coming from very poor families ,1,0
jordan bennett commended the team of volunteers for their dedication and for sharing his vision  which is motivated by christ s famous miracle where five loaves and two fish were used to feed 5000 persons  he said he was happy to see this level of partnership and support for an initiative that was birthed by his desire to feed especially homeless jamaicans and those in need and how it continues to blossom and impact the lives of others ,1,0
18  it is the supreme task of this generation to give hope to the hopeless  strength to the weak and protection to the defenceless ,1,0
varanasi  over six decades to independence and the muslim community may still be lagging behind in the field of education  but  a number of muslim women and girls particularly hailing from poor families are coming out to dispel the darkness of ignorance and bring about a new dawn for the coming generation of the community  they are doing the community proud by making sincere efforts at spreading literacy  especially among other girls and children ,1,0
vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state  her letter was conveyed to this court official by an investigator from the office of the children s advocate ,1,0
the minister said that christmas is a time of celebrations  of closeness and of hope and to help and join the vulnerable and poor families in its celebrations promoting the brotherhood  religious harmony  compassion and tolerance ,1,0
